rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
258,lakshayg,0.0027251545517941777,7.226477814713109e-05,0.02564102564102564,1,9,0.008804048946469502,3
259,savvadesogle,0.00270600176374416,0.0,0.02564102564102564,1,1,0.008774708397805355,2
260,pragupta,0.0020448873318185314,0.0008671773377655731,0.02564102564102564,1,2,0.008770415826364777,3
261,vishal9-team,0.001611205237259758,0.0012465674230380116,0.02564102564102564,1,1,0.008710760014123,2
262,slayton58,0.0019252902787982387,0.0006674455203866971,0.02564102564102564,1,3,0.008662657459942996,3
263,Isalia20,0.0016669917029767678,0.0008792214674567616,0.02564102564102564,1,10,0.008622870813735427,4
264,yuchengliu1,0.0016402871855503579,0.0008676791765027059,0.02564102564102564,1,1,0.008608726319478647,2
265,dadakhan033050-debug,0.0015134729326696942,0.0008792214674567616,0.02564102564102564,1,1,0.008561463305612598,2
266,qflen,0.0018077500160644333,0.00036704485233897004,0.02564102564102564,1,2,0.008525521154435157,2
267,KimbingNg,0.002010785177262239,0.0,0.02564102564102564,1,0,0.008496621763212588,1
268,jhubbard6421-star,0.002010785177262239,0.0,0.02564102564102564,1,0,0.008496621763212588,1
269,famura,0.001965387745375914,0.0,0.02564102564102564,1,0,0.008478462790458057,1
270,shino16,0.0014803364699520576,0.0005540299657946717,0.02564102564102564,1,4,0.008450651270026916,4
271,CRobeck,0.0018438608235845585,6.022064845594258e-05,0.02564102564102564,1,1,0.008447918216278298,2
272,sitsofe,0.0018872534717293077,0.0,0.02564102564102564,1,0,0.008447209080999414,1
273,iwanders,0.0018227278437618303,0.0,0.02564102564102564,1,1,0.008421398829812424,2
274,erozon,0.0017910283740277379,0.0,0.02564102564102564,1,0,0.008408719041918786,1
275,dsx724,0.0017437510881303045,0.0,0.02564102564102564,1,0,0.008389808127559814,1
276,bysdxt,0.0017081450648950916,0.0,0.02564102564102564,1,0,0.008375565718265728,1
277,seemethere,0.0015181430027298376,0.0002358642064524418,0.02564102564102564,1,3,0.00837032415533536,4
278,IlyasMoutawwakil,0.001681001913157198,6.022064845594258e-06,0.02564102564102564,1,1,0.00836651507702425,2
279,stharrold,0.001665733890304633,1.2044129691188515e-05,0.02564102564102564,1,2,0.008362214487336901,2
280,vishalgoyal316,0.0016402871855503579,1.2044129691188515e-05,0.02564102564102564,1,2,0.008352035805435191,2
281,narendasan,0.0016402871855503579,0.0,0.02564102564102564,1,1,0.008348422566527835,2
282,Warfields,0.001590232317823231,0.0,0.02564102564102564,1,0,0.008328400619436984,1
283,SuperCowProducts,0.001590232317823231,0.0,0.02564102564102564,1,0,0.008328400619436984,1
284,ElGreKost,0.001589393776041808,0.0,0.02564102564102564,1,0,0.008328065202724414,1
285,dcci,0.0015588577303366777,1.2044129691188515e-05,0.02564102564102564,1,2,0.00831946402334972,2
286,josh-gleason,0.0015477537137166303,0.0,0.02564102564102564,1,0,0.008311409177794344,1
287,tripathiji1312,0.0015457881641976338,0.0,0.02564102564102564,1,0,0.008310622957986746,1
288,rwkeane,0.0015457881641976338,0.0,0.02564102564102564,1,0,0.008310622957986746,1
289,bohnstingl,0.0015155162461100416,2.408825938237703e-05,0.02564102564102564,1,1,0.008305740668566422,2
